Region,Country/Jurisdiction,Issuing Body,Document Title,Document Type,Year/Date Published,Primary Topic / Predicate Crime / Typology Area,Brief Summary,Direct URL,Target Audience / Reporting Entity Sector
North America,United States,FFIEC,BSA/AML Examination Manual — Appendix F: Red Flags,Manual section,2014 (current),All ML/TF,Comprehensive list of money laundering and terrorist financing red flags used by US bank examiners.,https://bsaaml.ffiec.gov/manual/Appendices/07,Banks
North America,United States,FFIEC,Full BSA/AML Examination Manual,Manual,2021 (rolling),BSA/AML,Master examination manual covering all BSA/AML supervisory expectations.,https://bsaaml.ffiec.gov/manual,Banks
North America,United States,FINRA,Regulatory Notice 19-18 (Suspicious Activity Monitoring),Notice,2019,Securities AML,Securities-specific suspicious activity monitoring guidance and red flags.,https://www.finra.org/rules-guidance/notices/19-18,Broker-dealers
North America,Canada,FINTRAC,ML/TF Indicators — Financial Entities,Indicator list,Updated,All ML/TF,"Sectoral red flag indicators for banks, credit unions, and other financial entities.",https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/fin_mltf-eng,Banks
North America,Canada,FINTRAC,ML/TF Indicators — MSBs,Indicator list,Updated,MSB,Sectoral red flag indicators for money services businesses.,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/msb_mltf-eng,MSBs
North America,Canada,FINTRAC,ML/TF Indicators — Real Estate,Indicator list,Updated,Real estate,Sectoral red flag indicators for real estate brokers and agents.,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/real_mltf-eng,Real estate
North America,Canada,FINTRAC,ML/TF Indicators — Virtual Currency,Indicator list,Updated,Crypto,Sectoral red flag indicators for virtual currency dealers.,https://fintrac-canafe.canada.ca/guidance-directives/transaction-operation/indicators-indicateurs/vc_mltf-eng,VASPs
North America,Canada,FINTRAC,Operational Alert: Laundering of Proceeds of Online Child Sexual Exploitation (Project Shadow),Operational Alert,2025,OCSE,Updated Project Shadow indicators on OCSE-linked financial flows.,https://fintrac-canafe.canada.ca/intel/operation/exploitation-eng,All FIs
North America,Canada,FINTRAC,Operational Alert: Updated HT for Sexual Exploitation (Project Protect),Operational Alert,2021,Human trafficking,Updated Project Protect indicators on human trafficking financial flows.,https://fintrac-canafe.canada.ca/intel/operation/oai-hts-2021-eng,"Banks, MSBs"
North America,Canada,FINTRAC,Operational Alert: Underground Banking Schemes (Project Athena),Operational Alert,2022,Underground banking,Updated Project Athena indicators on underground banking and informal value transfer.,https://fintrac-canafe.canada.ca/intel/operation/ml-rec-eng,"Banks, MSBs"
North America,Canada,FINTRAC,Operational Alert: Professional ML through Trade & MSBs,Operational Alert,2019,PML/TBML,Indicators of professional money laundering networks operating through trade and MSBs.,https://fintrac-canafe.canada.ca/intel/operation/oai-ml-eng,"Banks, MSBs"
