status,slug,document_title,regulator,jurisdiction,issued_date,source_url,primary_category,red_flag_count,output_file,extracted_at
extracted,001_federal_child_nutrition_fraud,FinCEN Alert FIN-2026-Alert001,FinCEN,US,2026-01-09,https://www.fincen.gov/system/files/2026-01/FinCEN-Alert-Federal-Child-Nutrition-Programs.pdf,fraud_nexus,13,data/source/001_federal_child_nutrition_fraud.yaml,2026-05-06T01:22:35.147391+00:00
extracted,002_oil_smuggling_cartels,"FinCEN Alert FIN-2025-Alert002, FinCEN Alert on Oil Smuggling Schemes on the U.S. Southwest Border Associated with Mexico-Based Cartels",FinCEN,US,2025-05-01,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Oil-Smuggling-FINAL-508C.pdf,trade_based_ml,14,data/source/002_oil_smuggling_cartels.yaml,2026-05-06T01:22:38.061930+00:00
extracted,003_bulk_cash_smuggling_repatriation,FinCEN Alert FIN-2025-Alert001,FinCEN,US,2025-03-31,https://www.fincen.gov/system/files/shared/BCS-Alert-FINAL-508C.pdf,layering,10,data/source/003_bulk_cash_smuggling_repatriation.yaml,2026-05-06T01:22:34.201852+00:00
extracted,004_fincen_name_fraud_schemes,FinCEN Alert FIN-2024-Alert005,FinCEN,US,2024-12-18,https://www.fincen.gov/system/files/2024-12/Alert-FinCEN-Scams-FINAL508.pdf,fraud_nexus,19,data/source/004_fincen_name_fraud_schemes.yaml,2026-05-13T23:26:36.016939+00:00
extracted,005_deepfake_media_fraud,FinCEN Alert FIN-2024-Alert004,FinCEN,US,2024-11-13,https://www.fincen.gov/system/files/shared/FinCEN-Alert-DeepFakes-Alert508FINAL.pdf,fraud_nexus,18,data/source/005_deepfake_media_fraud.yaml,2026-05-13T23:26:32.663257+00:00
extracted,006_hizballah_financing,FinCEN Alert FIN-2024-Alert003,FinCEN,US,2024-10-23,https://www.fincen.gov/system/files/shared/FinCEN-Alert-Hizballah-Alert-508C.pdf,trade_based_money_laundering,8,data/source/006_hizballah_financing.yaml,2026-05-13T23:26:29.376309+00:00
extracted,007_employee_retention_credit_fraud,FinCEN Alert FIN-2023-Alert007,FinCEN,US,2023-11-22,https://www.fincen.gov/system/files/shared/FinCEN_ERC_Fraud_Alert_FINAL508.pdf,fraud_nexus,11,data/source/007_employee_retention_credit_fraud.yaml,2026-05-13T23:26:28.357863+00:00
extracted,008_hamas_terrorist_financing,FinCEN Alert FIN-2023-Alert006,FinCEN,US,2023-10-20,https://www.fincen.gov/system/files/2025-09/FinCEN_Alert_Terrorist_Financing_proof1.pdf,terrorist_financing,8,data/source/008_hamas_terrorist_financing.yaml,2026-05-13T23:26:33.754718+00:00
extracted,009_pig_butchering_scams,FinCEN Alert FIN-2023-Alert005,FinCEN,US,2023-09-08,https://www.fincen.gov/system/files/shared/FinCEN_Alert_Pig_Butchering_FINAL_508c.pdf,fraud_nexus,15,data/source/009_pig_butchering_scams.yaml,2026-05-13T23:26:38.494497+00:00
extracted,010_russian_export_control_evasion_supplemental,FIN-2023-Alert004 Supplemental Alert: FinCEN and the U.S. Department of Commerce’s Bureau of Industry and Security Urge Continued Vigilance for Potential Russian Export Control Evasion Attempts,FinCEN,US,2023-05-19,https://www.fincen.gov/system/files/shared/FinCEN%20and%20BIS%20Joint%20Alert%20_FINAL_508C.pdf,trade_based_money_laundering,9,data/source/010_russian_export_control_evasion_supplemental.yaml,2026-05-13T23:26:40.953410+00:00
extracted,011_mail_theft_check_fraud,FinCEN Alert FIN-2023-Alert003,FinCEN,US,2023-02-27,https://www.fincen.gov/system/files/shared/FinCEN%20Alert%20Mail%20Theft-Related%20Check%20Fraud%20FINAL%20508.pdf,fraud_nexus,10,data/source/011_mail_theft_check_fraud.yaml,2026-05-17T12:23:42.731882+00:00
extracted,012_russian_commercial_real_estate,FinCEN Alert FIN-2023-Alert002,FinCEN,US,2023-01-25,https://www.fincen.gov/system/files/shared/FinCEN%20Alert%20Real%20Estate%20FINAL%20508_1-25-23%20FINAL%20FINAL.pdf,sanctions_evasion,9,data/source/012_russian_commercial_real_estate.yaml,2026-05-17T12:23:43.492534+00:00
extracted,013_human_smuggling_southwest_border,FinCEN Alert FIN-2023-Alert001,FinCEN,US,2023-01-13,https://www.fincen.gov/system/files/shared/FinCEN%20Alert%20Human%20Smuggling%20FINAL_508.pdf,human_smuggling,8,data/source/013_human_smuggling_southwest_border.yaml,2026-05-17T12:23:42.238680+00:00
extracted,014_russian_belarusian_export_control_evasion,"FIN-2022-Alert003 June 28, 2022 FinCEN and the U.S. Department of Commerce’s Bureau of Industry and Security Urge Increased Vigilance for Potential Russian and Belarusian Export Control Evasion Attempts",FinCEN,US,2022-06-28,https://www.fincen.gov/system/files/2022-06/FinCEN%20and%20Bis%20Joint%20Alert%20FINAL.pdf,sanctions_evasion,22,data/source/014_russian_belarusian_export_control_evasion.yaml,2026-05-17T12:23:52.981474+00:00
extracted,015_russian_elites_high_value_assets,FinCEN Alert FIN-2022-Alert002,FinCEN,US,2022-03-16,https://www.fincen.gov/system/files/2022-03/FinCEN%20Alert%20Russian%20Elites%20High%20Value%20Assets_508%20FINAL.pdf,sanctions_evasion,17,data/source/015_russian_elites_high_value_assets.yaml,2026-05-17T12:23:53.386095+00:00
extracted,016_russian_sanctions_evasion,FinCEN Alert FIN-2022-Alert001,FinCEN,US,2022-03-07,https://www.fincen.gov/system/files/2022-03/FinCEN%20Alert%20Russian%20Sanctions%20Evasion%20FINAL%20508.pdf,sanctions_evasion,13,data/source/016_russian_sanctions_evasion.yaml,2026-05-17T12:23:50.667046+00:00
extracted,017_twitter_cvc_scam,FinCEN Alert FIN-2020-Alert001,FinCEN,US,2020-07-16,https://www.fincen.gov/system/files/2020-07/FinCEN%20Alert%20Twitter_508%20FINAL.pdf,fraud_nexus,7,data/source/017_twitter_cvc_scam.yaml,2026-05-17T12:23:47.995643+00:00
extracted,018_health_care_fraud,"FIN-2026-A001 FinCEN Advisory on Health Care Fraud Schemes Targeting Medicare, Medicaid, and Other Federal and State Health Care Benefit Programs",FinCEN,US,2026-03-30,https://www.fincen.gov/system/files/2026-03/FinCEN-Advisory-Health-Care-Fraud.pdf,fraud_nexus,24,data/source/018_health_care_fraud.yaml,2026-05-17T12:24:04.845129+00:00
extracted,019_chinese_money_laundering_networks,FinCEN Advisory on the Use of Chinese Money Laundering Networks by Mexico-Based Transnational Criminal Organizations to Launder Illicit Proceeds,FinCEN,US,2025-08-28,https://www.fincen.gov/system/files/2025-08/FinCEN-Advisory-CMLN-508.pdf,layering,19,data/source/019_chinese_money_laundering_networks.yaml,2026-05-17T12:24:04.959374+00:00
